name_en name_pl capital
Fiji Fidżi Suva
Tanzania Tanzania Dodoma
"Western Sahara" "Sahara Zachodnia" Apia
Canada Kanada Ottawa
"United States" "Stany Zjednoczone" Waszyngton
Kazakhstan Kazachstan Astana
Uzbekistan Uzbekistan Taszkent
"Papua New Guinea" "Papua-Nowa Gwinea" "Port Moresby"
Indonesia Indonezja Dżakarta
Argentina Argentyna "Buenos Aires"
Chile Chile Santiago
"Democratic Republic of the Congo" "Demokratyczna Republika Konga" Kinszasa
Somalia Somalia Mogadiszu
Kenya Kenia Nairobi
Sudan Sudan Chartum
Chad Czad Ndżamena
Haiti Haiti Port-au-Prince
"Dominican Republic" Dominikana "Santo Domingo"
"Russian Federation" Rosja Moskwa
Bahamas Bahamy Nassau
"Falkland Islands / Malvinas" Falklandy Stanley
Norway Norwegia Oslo
Greenland Grenlandia Nuuk
"French Southern and Antarctic Lands" "Francuskie Terytoria Południowe i Antarktyczne" Port-aux-Francais
Timor-Leste "Timor Wschodni" Dili
"South Africa" "Republika Południowej Afryki" Pretoria
Lesotho Lesotho Maseru
Mexico Meksyk Meksyk
Uruguay Urugwaj Montevideo
Brazil Brazylia Brasilia
Bolivia Boliwia Sucre
Peru Peru Lima
Colombia Kolumbia Bogota
Panama Panama Panama
"Costa Rica" Kostaryka "San Jose"
Nicaragua Nikaragua Managua
Honduras Honduras Tegucigalpa
"El Salvador" Salwador "San Salvador"
Guatemala Gwatemala Gwatemala
Belize Belize Belmopan
Venezuela Wenezuela Caracas
Guyana Gujana Georgetown
Suriname Surinam Paramaribo
France Francja Paryż
Ecuador Ekwador Quito
"Puerto Rico" Portoryko 
Jamaica Jamajka Kingston
Cuba Kuba Hawana
Zimbabwe Zimbabwe Harare
Botswana Botswana Gaborone
Namibia Namibia Windhuk
Senegal Senegal Dakar
Mali Mali Bamako
Mauritania Mauretania Nawakszut
Benin Benin Porto-Novo
Niger Niger Niamey
Nigeria Nigeria Abudża
Cameroon Kamerun Jaunde
Togo Togo Lome
Ghana Ghana Akra
"Côte d'Ivoire" "Wybrzeże Kości Słoniowej" Jamusukro
Guinea Gwinea Konakry
Guinea-Bissau "Gwinea Bissau" Bissau
Liberia Liberia Monrovia
"Sierra Leone" "Sierra Leone" Freetown
"Burkina Faso" "Burkina Faso" Wagadugu
"Central African Republic" "Republika Środkowoafrykańska" Bangi
"Republic of the Congo" Kongo Brazzaville
Gabon Gabon Libreville
"Equatorial Guinea" "Gwinea Równikowa" Malabo
Zambia Zambia Lusaka
Malawi Malawi Lilongwe
Mozambique Mozambik Maputo
"Kingdom of eSwatini" Eswatini Mbabane
Angola Angola Luanda
Burundi Burundi Gitega
Israel Izrael Jerozolima
Lebanon Liban Bejrut
Madagascar Madagaskar Antananarywa
Palestine Palestyna "Jerozolima Wschodnia"
"The Gambia" Gambia Bandżul
Tunisia Tunezja Tunis
Algeria Algieria Algier
Jordan Jordania Amman
"United Arab Emirates" "Zjednoczone Emiraty Arabskie" "Abu Dhabi"
Qatar Katar Doha
Kuwait Kuwejt Kuwejt
Iraq Irak Bagdad
Oman Oman Maskat
Vanuatu Vanuatu "Port Vila"
Cambodia Kambodża "Phnom Penh"
Thailand Tajlandia Bangkok
"Lao PDR" Laos Wientian
Myanmar Mjanma Naypyidaw
Vietnam Wietnam Hanoi
"Dem. Rep. Korea" "Korea Północna" Pjongjang
"Republic of Korea" "Korea Południowa" Seul
Mongolia Mongolia "Ułan Bator"
India Indie "Nowe Delhi"
Bangladesh Bangladesz Dhaka
Bhutan Bhutan Thimphu
Nepal Nepal Katmandu
Pakistan Pakistan Islamabad
Afghanistan Afganistan Kabul
Tajikistan Tadżykistan Duszanbe
Kyrgyzstan Kirgistan Biszkek
Turkmenistan Turkmenistan Aszchabad
Iran Iran Teheran
Syria Syria Damaszek
Armenia Armenia Erywań
Sweden Szwecja Sztokholm
Belarus Białoruś Mińsk
Ukraine Ukraina Kijów
Poland Polska Warszawa
Austria Austria Wiedeń
Hungary Węgry Budapeszt
Moldova Mołdawia Kiszyniów
Romania Rumunia Bukareszt
Lithuania Litwa Wilno
Latvia Łotwa Ryga
Estonia Estonia Tallinn
Germany Niemcy Berlin
Bulgaria Bułgaria Sofia
Greece Grecja Ateny
Turkey Turcja Ankara
Albania Albania Tirana
Croatia Chorwacja Zagrzeb
Switzerland Szwajcaria Berno
Luxembourg Luksemburg Luksemburg
Belgium Belgia Bruksela
Netherlands Holandia Amsterdam
Portugal Portugalia Lizbona
Spain Hiszpania Madryt
Ireland Irlandia Dublin
"New Caledonia" "Nowa Kaledonia" Numea
"Solomon Islands" "Wyspy Salomona" Honiara
"New Zealand" "Nowa Zelandia" Wellington
Australia Australia Canberra
"Sri Lanka" "Sri Lanka" "Sri Dzajawardanapura Kotte"
China Chiny Pekin
Taiwan Tajwan Tajpej
Italy Włochy Rzym
Denmark Dania Kopenhaga
"United Kingdom" "Wielka Brytania" Londyn
Iceland Islandia Reykjavik
Azerbaijan Azerbejdżan Baku
Georgia Gruzja Tbilisi
Philippines Filipiny Manila
Malaysia Malezja "Kuala Lumpur"
"Brunei Darussalam" Brunei "Bandar Seri Begawan"
Slovenia Słowenia Lublana
Finland Finlandia Helsinki
Slovakia Słowacja Bratysława
"Czech Republic" Czechy Praga
Eritrea Erytrea Asmara
Japan Japonia Tokio
Paraguay Paragwaj Asuncion
Yemen Jemen Sana
"Saudi Arabia" "Arabia Saudyjska" Rijad
Antarctica Antarktyda Brak
"Northern Cyprus" "Cypr Północny" "Nikozja Północna"
Cyprus Cypr Nikozja
Morocco Maroko Rabat
Egypt Egipt Kair
Libya Libia Trypolis
Ethiopia Etiopia "Addis Abeba"
Djibouti Dżibuti Dżibuti
Somaliland Somaliland Hargejsa
Uganda Uganda Kampala
Rwanda Rwanda Kigali
"Bosnia and Herzegovina" "Bośnia i Hercegowina" Sarajewo
"North Macedonia" "Macedonia Północna" Skopje
Serbia Serbia Belgrad
Montenegro Czarnogóra Podgorica
Kosovo Kosowo Prisztina
"Trinidad and Tobago" "Trynidad i Tobago" Port-of-Spain
"South Sudan" "Sudan Południowy" Dżuba
